Window_Minutes,Trial_ID,Model,Target,Cell,RMSE,MAE,MedAE,RMSE_frac,MAE_frac,MedAE_frac,r,R2,m,c
1,1,Random Forest,RUL,1,597.9788179080148,525.0769230769231,503.0,0.14783628461751236,0.12981299524564185,0.12435499207606973,0.9887219460320535,0.9396521668406405,0.9579553164275,-301.47310683174686
1,1,Random Forest,RUL,2,824.8657542245221,572.4723744292237,359.83333333333337,0.21660143905895723,0.15032547961630693,0.09448860911270984,0.9617223498136599,0.870346917783849,1.1278406271462116,-716.370927123018
1,1,Random Forest,RUL,3,339.57139181995865,251.88048245614033,214.0,0.0851730223706827,0.06317794279427942,0.05367656765676568,0.9910834694815678,0.980304470868095,0.9387171425366405,235.62617295699042
1,1,Random Forest,RUL,4,2133.983683560427,2069.468085106383,1952.0,0.8134406579670728,0.7888483373884835,0.7440713706407137,0.9904003698408544,-1.054366644406596,1.2991064725751844,1284.7908921591454
1,1,Random Forest,RUL,5,1597.9075380008694,1439.804347826087,1514.0,0.6192396524687447,0.5579696714406066,0.5867228306655434,0.9079901989838786,-0.20894801891246617,1.031194537492643,1359.3088782526786
1,1,Random Forest,RUL,6,1629.7571771652792,1505.4130434782608,1486.0,0.6315823938466962,0.5833951137320977,0.5758719460825611,0.947299502668922,-0.2576220447034132,1.2337965902962842,870.8118419963266
1,1,Random Forest,RUL,7,2191.549602509544,1973.4961038961042,2151.0,0.5482434028370204,0.49369460688758937,0.5380994152046783,0.9655024093367052,0.17005625004575764,0.5696331129579996,-175.55678140873147
1,1,Random Forest,RUL,8,975.0806376910579,660.1973684210526,319.0,0.24710279581367253,0.16730576858952984,0.08084028009336446,0.9533712669994377,0.8320207129208453,0.7042482678923792,1584.6440060404677
1,2,Random Forest,RUL,1,628.2328265659157,544.078125,480.0,0.15565970151071856,0.134808362369338,0.118931475029036,0.9872525236406292,0.9303052172094838,0.9627163849650906,-349.9162849450432
1,2,Random Forest,RUL,2,768.6258869556507,576.9672131147541,403.0,0.20573136947913423,0.15443176831943836,0.10786748573935936,0.9629605568777371,0.8907745063444097,1.0952396804591784,-537.4774291253558
1,2,Random Forest,RUL,3,289.46024821055767,226.58823529411765,179.0,0.07298219087251732,0.0571301446051168,0.04513162773451984,0.9934484098947712,0.9858359210547962,0.954972849562116,158.4679775455479
1,2,Random Forest,RUL,4,2108.6125236752246,2034.725,1944.0,0.8536892808401719,0.8237753036437246,0.7870445344129555,0.9923183195425898,-0.9986724692079474,1.3317402004854801,1215.3267048008631
1,2,Random Forest,RUL,5,1478.3170351485016,1390.179487179487,1465.0,0.5470053545615898,0.514392789373814,0.5420777988614801,0.943868778035277,-0.03449076652558225,0.9879011888460104,1422.8772998879613
1,2,Random Forest,RUL,6,1372.047979677309,1245.4146341463415,1233.0,0.536262794726117,0.48676835081029557,0.4819161105815062,0.9435807623021107,0.130423995229642,1.1430685546585184,854.5392345444254
1,2,Random Forest,RUL,7,2203.290706534206,1988.75,2168.5,0.54234848160842,0.48953846153846153,0.5337846153846154,0.9640589190999458,0.15932744540953003,0.5709630110669158,-167.16223245934432
1,2,Random Forest,RUL,8,964.0850990057879,649.421875,333.5,0.23496361895038242,0.15827494287890329,0.08127951256664127,0.9560809577105452,0.8404528893977466,0.7025511572510279,1599.6729079043755
1,3,Random Forest,RUL,1,617.6504233419948,525.8939393939394,467.5,0.15911369219583005,0.13547619047619047,0.12043325526932083,0.98815803644326,0.9351635348290618,0.971669725543809,-382.7997527927861
1,3,Random Forest,RUL,2,801.7529317303096,558.8325652841783,365.0,0.2176387117656707,0.15169710616295556,0.09908056042031524,0.9586922381707478,0.8794287692502564,1.0840310453060509,-541.1694360260706
1,3,Random Forest,RUL,3,334.40210083697394,243.40956160241876,204.0,0.08595402836690885,0.0625654931903402,0.05243574051407589,0.9916218054574951,0.9814065282496874,0.9400706611815569,238.94417976750404
1,3,Random Forest,RUL,4,2152.7113073919068,2076.189189189189,1891.0,0.8160893275973417,0.7870799180327869,0.7168749999999999,0.98777996509994,-1.0180080085120458,1.313043024639128,1250.432453924892
1,3,Random Forest,RUL,5,1390.929021502227,1237.3714285714286,1284.0,0.4892715151012859,0.4352562814070352,0.4516582914572865,0.8931185656111249,-0.06291758532538005,0.96031910122438,1340.007126519263
1,3,Random Forest,RUL,6,1543.384326011437,1397.8,1439.0,0.5860953136752292,0.5308101265822784,0.5464556962025316,0.9341937025743255,-0.1732879049912437,1.1582100116754235,974.0691914769407
1,3,Random Forest,RUL,7,2072.1810588553703,1810.9994505494506,1957.0,0.5442091669721175,0.4756160173160173,0.513959595959596,0.9718865780367681,0.2835472758899992,0.5440916762292907,20.127298753304398
1,3,Random Forest,RUL,8,1006.3467490938522,689.9558823529412,364.5,0.25420348788403396,0.17428306092124815,0.09207280832095097,0.9549272792278565,0.8299627238899184,0.6943821713037467,1632.901757132814
1,4,Random Forest,RUL,1,563.1940163034405,503.469696969697,451.0,0.13356379833283175,0.119399928135106,0.10695652173913042,0.9910645082789687,0.9489420016503596,0.9511304556374409,-241.76675460454405
1,4,Random Forest,RUL,2,837.1164771852242,557.8341666666668,338.5,0.21584438603830447,0.14383347657928666,0.08727975934679845,0.9598845060241493,0.8719371192721979,1.1070643111357712,-671.6919200215633
